Drug_Name,Region,Product_ID,Supplier_ID,Demand,Supply,Lead_Time,Transportation_Cost,Product_Stock,Cost_Price,Selling_Price,News_Article,Demand_Supply_Gap,Risk_Level,Risk_Level_Encoded,Region_Encoded,Drug_Encoded,Predicted_Risk_Level,Sentiment
Atorvastatin,North America,P018,S001,494,42,13,63.4,42,86.08,111.904,atorvastatin faces supply challenges in north america the demand for atorvastatin in north america has reached 494 units but only 42 units are currently available supplier s001 manages the product p018 with a transportation cost of 63 40 and a delivery lead time of 13 days efforts to close the supply demand gap are urgently needed ,452,High,0,4,2,High,0.41725
Ibuprofen,South America,P014,S008,329,355,12,88.62,355,116.344,151.2472,ibuprofen faces supply challenges in south america the demand for ibuprofen in south america has reached 329 units but only 355 units are currently available supplier s008 manages the product p014 with a transportation cost of 88 62 and a delivery lead time of 12 days efforts to close the supply demand gap are urgently needed bad ,-26,Medium,2,5,4,Medium,0.1247
Ibuprofen,North America,P023,S008,200,30,2,50.92,30,71.104,92.4352,ibuprofen faces supply challenges in north america the demand for ibuprofen in north america has reached 200 units but only 30 units are currently available supplier s008 manages the product p023 with a transportation cost of 50 92 and a delivery lead time of 2 days bad efforts to close the supply demand gap are urgently needed bad ,170,High,0,4,4,High,0.0484
Atorvastatin,Africa,P017,S016,266,211,4,16.2,211,29.44,38.272,atorvastatin faces supply challenges in africa the demand for atorvastatin in africa has reached 266 units thats okay medium but only 211 units are currently available supplier s016 manages the product p017 with a transportation cost of 16 20 and a delivery lead time of 4 days efforts to close the supply demand gap are urgently needed ,55,Medium,2,0,2,Medium,0.4742
Aspirin,Africa,P007,S018,454,66,10,41.56,66,59.872,77.8336,aspirin faces supply challenges in africa the demand for aspirin in africa has reached 454 units but only 66 units are currently available supplier s018 manages the product p007 with a transportation cost of 41 56 and a delivery lead time of 10 days efforts to close the supply demand gap are urgently needed high ,388,High,0,0,1,High,0.41725
Metformin,North America,P008,S002,307,163,4,22.24,163,36.688,47.6944,metformin faces supply challenges in north america the demand for metformin in north america has reached 307 units but only 163 units are currently available not good supplier s002 manages the product p008 with a transportation cost of 22 24 and a delivery lead time of 4 days efforts to close the supply demand gap are urgently needed ,144,High,0,4,6,High,0.2099
Aspirin,Africa,P018,S020,71,172,12,73.08,172,97.696,127.0048,aspirin faces supply challenges in africa the demand for aspirin in africa has reached 71 units but only 172 units are currently available supplier s020 manages the product p018 with a transportation cost of 73 08 and a delivery lead time of 12 days thats fine medium efforts to close the supply demand gap are urgently needed ,-101,Medium,2,0,1,Medium,0.5703
Clopidogrel,Europe,P029,S003,280,77,13,79.35,77,105.22,136.786,clopidogrel faces supply challenges in europe the demand for clopidogrel in europe has reached 280 units but only 77 units are currently available need supplier s003 manages the product p029 with a transportation cost of 79 35 and a delivery lead time of 13 days efforts to close the supply demand gap are urgently needed ,203,High,0,3,3,High,0.41725
Metformin,South America,P011,S006,140,104,6,73.76,104,98.512,128.0656,metformin faces supply challenges in south america the demand for metformin in south america has reached 140 units but only 104 units are currently available supplier s006 manages the product p011 with a transportation cost of 73 76 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,36,Low,1,5,6,Low,0.41725
Amoxicillin,North America,P011,S005,312,92,13,15.39,92,28.468,37.0084,amoxicillin faces supply challenges in north america the demand for amoxicillin in north america has reached 312 units but only 92 units are currently available supplier s005 manages the product p011 with a transportation cost of 15 39 and a delivery lead time of 13 days efforts to close the supply demand gap are urgently needed ,220,High,0,4,0,High,0.41725
