Drug_Name,Region,Product_ID,Supplier_ID,Demand,Supply,Lead_Time,Transportation_Cost,Product_Stock,Cost_Price,Selling_Price,News_Article
Atorvastatin,North America,P018,S001,494,42,13,63.4,42,86.08,111.904,"Atorvastatin Faces Supply Challenges in North America: The demand for 'Atorvastatin' in North America has reached 494 units, but only 42 units are currently available. Supplier 'S001' manages the product 'P018', with a transportation cost of $63.40 and a delivery lead time of 13 days. Efforts to close the supply-demand gap are urgently needed ."
Ibuprofen,South America,P014,S008,329,355,12,88.62,355,116.344,151.2472,"Ibuprofen Faces Supply Challenges in South America: The demand for 'Ibuprofen' in South America has reached 329 units, but only 355 units are currently available. Supplier 'S008' manages the product 'P014', with a transportation cost of $88.62 and a delivery lead time of 12 days. Efforts to close the supply-demand gap are urgently needed bad."
Ibuprofen,North America,P023,S008,200,30,2,50.92,30,71.104,92.4352,"Ibuprofen Faces Supply Challenges in North America: The demand for 'Ibuprofen' in North America has reached 200 units, but only 30 units are currently available. Supplier 'S008' manages the product 'P023', with a transportation cost of $50.92 and a delivery lead time of 2 days. Bad Efforts to close the supply-demand gap are urgently needed bad . "
Atorvastatin,Africa,P017,S016,266,211,4,16.2,211,29.44,38.272,"Atorvastatin Faces Supply Challenges in Africa: The demand for 'Atorvastatin' in Africa has reached 266 units thats okay medium, but only 211 units are currently available. Supplier 'S016' manages the product 'P017', with a transportation cost of $16.20 and a delivery lead time of 4 days. Efforts to close the supply-demand gap are urgently needed."
Aspirin,Africa,P007,S018,454,66,10,41.56,66,59.872,77.8336,"Aspirin Faces Supply Challenges in Africa: The demand for 'Aspirin' in Africa has reached 454 units, but only 66 units are currently available. Supplier 'S018' manages the product 'P007', with a transportation cost of $41.56 and a delivery lead time of 10 days. Efforts to close the supply-demand gap are urgently needed high ."
Metformin,North America,P008,S002,307,163,4,22.24,163,36.688,47.6944,"Metformin Faces Supply Challenges in North America: The demand for 'Metformin' in North America has reached 307 units, but only 163 units are currently available not good. Supplier 'S002' manages the product 'P008', with a transportation cost of $22.24 and a delivery lead time of 4 days. Efforts to close the supply-demand gap are urgently needed."
Aspirin,Africa,P018,S020,71,172,12,73.08,172,97.696,127.0048,"Aspirin Faces Supply Challenges in Africa: The demand for 'Aspirin' in Africa has reached 71 units, but only 172 units are currently available. Supplier 'S020' manages the product 'P018', with a transportation cost of $73.08 and a delivery lead time of 12 days thats fine medium. Efforts to close the supply-demand gap are urgently needed."
Clopidogrel,Europe,P029,S003,280,77,13,79.35,77,105.22,136.786,"Clopidogrel Faces Supply Challenges in Europe: The demand for 'Clopidogrel' in Europe has reached 280 units, but only 77 units are currently available need . Supplier 'S003' manages the product 'P029', with a transportation cost of $79.35 and a delivery lead time of 13 days. Efforts to close the supply-demand gap are urgently needed."
Metformin,South America,P011,S006,140,104,6,73.76,104,98.512,128.0656,"Metformin Faces Supply Challenges in South America: The demand for 'Metformin' in South America has reached 140 units, but only 104 units are currently available. Supplier 'S006' manages the product 'P011', with a transportation cost of $73.76 and a delivery lead time of 6 days. Efforts to close the supply-demand gap are urgently needed."
Amoxicillin,North America,P011,S005,312,92,13,15.39,92,28.468,37.0084,"Amoxicillin Faces Supply Challenges in North America: The demand for 'Amoxicillin' in North America has reached 312 units, but only 92 units are currently available. Supplier 'S005' manages the product 'P011', with a transportation cost of $15.39 and a delivery lead time of 13 days. Efforts to close the supply-demand gap are urgently needed."
